Latitude,Longitude,Azimuth
12.9049,77.6744,180
13.0424,77.5913,180
12.9374,77.5438,180
13.0631,77.5891,180
13.0547,77.6062,180
13.1075,77.6056,180
12.9134,77.5382,180
12.971,77.5136,180
13.0951,77.5839,180
12.9321,77.5338,180
12.9555,77.7174,180
12.94733,77.56336,180
12.988,77.618,180
12.9178,77.6883,180
12.9183,77.5025,180
12.9239,77.6145,180
12.9621,77.5293,180
12.95,77.7082,180
13.0431,77.5712,180
12.9756,77.5972,180
13.0258,77.5925,180
13.0067,77.5602,180
12.98292,77.61141,180
12.9747,77.6144,180
12.8981,77.57,180
12.9506,77.7047,180
12.79839,77.70288,180
12.9902,77.7406,180
13.0073,77.7077,180
12.919,77.5059,180
12.9585,77.7188,180
12.9571,77.5108,180
12.9893,77.5581,180
12.9738,77.6494,180
12.8229,77.6723,180
12.8134,77.6672,180
12.9686,77.7131,180
12.9305,77.5848,180
13.0719,77.557,180
12.983,77.5146,180
12.983,77.5146,180
12.9705,77.7132,180
12.9007,77.6735,180
12.85373,77.73572,180
12.9712,77.6491,180
12.9676,77.5286,180
12.9562,77.5564,180
13.1076,77.5809,180
12.9947,77.5596,180
12.9747,77.6515,180
12.9752,77.6537,180
12.9276,77.6113,180
12.8515,77.6492,180
12.91571,77.61793,180
12.9238,77.5847,180
12.6,77.5243,180
13.0694,77.5575,180
12.9505,77.7151,180
12.9596,77.62,180
12.91228,77.68118,180
13.0144,77.7605,180
13.0257,77.549,180
13.0476,77.6244,180
13.0097,77.5489,180
13.0649,77.0573,180
12.9826,77.7524,180
13.0641,77.5889,180
12.9682,77.6456,180
13.0694,77.5575,180
12.9926,77.7485,180
13.015,77.5331,180
12.942,77.5989,180
12.9127,77.1805,180
12.8288,77.6934,180
13.0024,77.5523,180
13.0024,77.5523,180
12.9219,77.5655,180
12.9197,77.6179,180
13.0561,77.5999,180
12.9062,77.5656,180
12.8756,77.64,180
13.0685,77.8039,180
13.1784,77.3089,180
12.9503,77.5947,180
12.8641,77.5942,180
13.0593,77.5821,180
12.9404,77.5299,180
12.9179,77.5519,180
12.8636,77.6546,180
12.9269,77.6631,180
12.96105,77.53787,180
13.0456,77.6211,180
12.9439,77.6519,180
12.9388,77.5928,180
12.9043,77.5882,180
13.0445,77.5656,180
13.0011,77.5719,180
12.9755,77.6051,180
12.9373,77.699,180
13.023,77.5589,180
12.9654,77.5228,180
12.94553,77.58609,180
12.94553,77.58609,180
12.93773,77.56841,180
13.0529,77.4858,180
12.9341,77.6197,180
12.7637,77.7673,180
12.9821,77.6019,180
13.07841,77.79128,180
13.0712,77.5172,180
12.9914,77.7016,180
12.9867,77.7371,180
12.9228,77.6175,180
12.9588,77.6542,180
12.9712,77.5218,180
12.959,77.6543,180
12.9041,77.6905,180
12.9738,77.6534,180
12.9903,77.5873,180
12.98406,77.63843,180
12.9865,77.5898,180
12.954,77.7056,180
13.0687,77.8063,180
12.9506,77.6436,180
12.9168,77.5859,180
12.9293,77.4847,180
12.9044,77.5364,180
12.9685,77.5433,180
12.977,77.639,180
12.9905,77.6757,180
12.968,77.7159,180
13.0539,77.5972,180
13.09,77.4882,180
12.9028,77.6406,180
12.92481,77.63371,180
12.9738,77.6935,180
12.9747,77.6055,180
12.8871,77.543,180
13.0152,77.6611,180
12.9079,77.5857,180
13.0365,77.6321,180
13.0105,77.5374,180
12.9315,77.5837,180
12.955,77.703,180
13.0039,77.6614,180
13.06168,77.77142,180
12.9033,77.6063,180
12.9757,77.6661,180
12.9894,77.7313,180
12.8535,77.6604,180
13.0497,77.6233,180
13,77.7535,180
13.0097,77.6298,180
12.8214,77.6618,180
12.9705,77.6527,180
12.9938,77.5861,180
13.0289,77.5714,180
12.9729,77.6113,180
12.8893,77.6239,180
12.9583,77.591,180
12.8908,77.6495,180
13.115,77.5791,180
13.1152,77.5789,180
12.96545,77.75233,180
13.008,77.5657,180
12.9051,77.5528,180
12.9515,77.4921,180
12.9675,77.6359,180
12.963,77.6443,180
13.0435,77.6168,180
12.9694,77.6359,180
12.9539,77.5208,180
12.9017,77.6229,180
13.012,77.6304,180
12.9853,77.54532,180
13.0203,77.5773,180
12.9191,77.6305,180
13.0213,77.644,180
13.0697,77.5076,180
12.9059,77.6456,180
12.91813,77.61932,180
12.9279,77.6752,180
12.84541,77.64756,180
12.9969,77.562,180
12.9411,77.7372,180
12.9811,77.5308,180
12.9279,77.6752,180
12.8481,77.6562,180
12.9362,77.6115,180
12.9467,77.7177,180
12.9694,77.6407,180
12.97161,77.75428,180
12.89931,77.65393,180
12.922,77.5165,180
12.9046,77.5362,180
12.9237,77.6807,180
12.8487,77.6507,180
12.9791,77.6446,180
13.0469,77.6017,180
13.0196,77.6785,180
12.98886,77.5604,180
12.8981,77.56814,180
12.96758,77.61134,180
13.0846,77.6001,180
13.0014,77.5682,180
12.8592,77.5929,180
12.9648,77.7082,180
12.9733,77.6147,180
13.005,77.6554,180
12.9578,77.5354,180
12.7872,77.6533,180
13.0521,77.5517,180
13.0481,77.6218,180
12.9551,77.6541,180
13.0536,77.5973,180
12.99169,77.55678,180
12.9753,77.6053,180
12.91728,77.63654,180
