Complaints,Minlat,Minlong,Maxlat,Maxlong
1,12.88264054,77.57982,12.88404429,77.58126
2,13.09539378,77.58126,13.09679633,77.5827
1,13.06874386,77.58126,13.06997122,77.5827
1,12.97369246,77.58126,12.9750957,77.5827
1,12.96562369,77.58126,12.96702697,77.5827
1,12.96439581,77.58126,12.96562369,77.5827
1,12.92545136,77.58126,12.92685487,77.5827
1,12.90404687,77.58126,12.9054505,77.5827
1,12.8921157,77.58126,12.89334394,77.5827
1,12.890712,77.58126,12.8921157,77.5827
1,12.95229211,77.5827,12.95369547,77.58396
1,12.94018782,77.5827,12.94159124,77.58396
1,12.93895981,77.5827,12.94018782,77.58396
1,12.89334394,77.5827,12.89474763,77.58396
1,12.87737641,77.5827,12.87860472,77.58396
1,12.87597263,77.5827,12.87737641,77.58396
1,12.87456883,77.5827,12.87597263,77.58396
1,12.96562369,77.58396,12.96702697,77.5854
1,12.96158921,77.58396,12.96299251,77.5854
2,12.92948643,77.58396,12.93088992,77.5854
1,12.91474935,77.58396,12.91615291,77.5854
2,12.89737952,77.58396,12.89878319,77.5854
2,12.89474763,77.58396,12.89597585,77.5854
20,13.10082861,77.5854,13.10205581,77.58666
1,13.02858822,77.5854,13.02981578,77.58666
1,13.02595771,77.5854,13.02718528,77.58666
1,12.93895981,77.5854,12.94018782,77.58666
1,12.92545136,77.5854,12.92685487,77.58666
2,12.90948589,77.5854,12.91071404,77.58666
1,12.90808228,77.5854,12.90948589,77.58666
1,12.85315999,77.5854,12.8545639,77.58666
1,12.9549234,77.58666,12.95632674,77.5881
3,12.91352122,77.58666,12.91474935,77.5881
1,12.89878319,77.58666,12.90001139,77.5881
1,12.89474763,77.58666,12.89597585,77.5881
1,12.86526849,77.58666,12.86667234,77.5881
1,13.03525205,77.5881,13.03665494,77.58954
2,12.95895799,77.5881,12.96036131,77.58954
2,12.91352122,77.5881,12.91474935,77.58954
1,12.90281869,77.5881,12.90404687,77.58954
1,12.89334394,77.5881,12.89474763,77.58954
1,13.01911825,77.58954,13.02052123,77.5908
1,13.01789064,77.58954,13.01911825,77.5908
1,12.95895799,77.58954,12.96036131,77.5908
1,12.93352143,77.58954,12.9349249,77.5908
1,12.90281869,77.58954,12.90404687,77.5908
1,12.88808003,77.58954,12.88930828,77.5908
1,13.06208093,77.5908,13.06330832,77.59224
1,13.03788246,77.5908,13.03928533,77.59224
1,13.0312187,77.5908,13.03262161,77.59224
2,13.02718528,77.5908,13.02858822,77.59224
3,12.9549234,77.5908,12.95632674,77.59224
1,12.93352143,77.5908,12.9349249,77.59224
2,12.90281869,77.5908,12.90404687,77.59224
2,12.90141504,77.5908,12.90281869,77.59224
1,12.8866763,77.5908,12.88808003,77.59224
1,13.0727766,77.59224,13.07400394,77.59368
5,13.06330832,77.59224,13.06471105,77.59368
1,13.04857918,77.59224,13.04998199,77.59368
1,13.01789064,77.59224,13.01911825,77.59368
1,13.01648764,77.59224,13.01789064,77.59368
1,12.94159124,77.59224,12.94299466,77.59368
4,12.91211763,77.59224,12.91352122,77.59368
1,12.91071404,77.59224,12.91211763,77.59368
1,12.90948589,77.59224,12.91071404,77.59368
6,13.09942608,77.59368,13.10082861,77.59494
1,12.9870229,77.59368,12.98842606,77.59494
29,12.97106137,77.59368,12.97228922,77.59494
2,12.96702697,77.59368,12.96825484,77.59494
1,12.94966079,77.59368,12.95088874,77.59494
4,12.92422329,77.59368,12.92545136,77.59494
1,12.90141504,77.59368,12.90281869,77.59494
1,12.88808003,77.59368,12.88930828,77.59494
1,12.86930453,77.59368,12.87070836,77.59494
1,12.97106137,77.59494,12.97228922,77.59638
1,12.95895799,77.59494,12.96036131,77.59638
1,12.89597585,77.59494,12.89737952,77.59638
1,12.8866763,77.59494,12.88808003,77.59638
1,13.05664525,77.59638,13.05804801,77.59764
4,13.03525205,77.59638,13.03665494,77.59764
3,13.01911825,77.59638,13.02052123,77.59764
1,13.01789064,77.59638,13.01911825,77.59764
1,12.96702697,77.59638,12.96825484,77.59764
1,12.94685402,77.59638,12.94825741,77.59764
1,12.92422329,77.59638,12.92545136,77.59764
1,12.91071404,77.59638,12.91211763,77.59764
1,12.89878319,77.59638,12.90001139,77.59764
1,12.88404429,77.59638,12.88527257,77.59764
1,13.02718528,77.59764,13.02858822,77.59908
1,13.01911825,77.59764,13.02052123,77.59908
3,12.9870229,77.59764,12.98842606,77.59908
1,12.95755466,77.59764,12.95895799,77.59908
1,12.94562605,77.59764,12.94685402,77.59908
1,13.04998199,77.59908,13.0513848,77.60052
1,13.02595771,77.59908,13.02718528,77.60052
3,13.00052801,77.59908,13.00175571,77.60052
1,12.98579512,77.59908,12.9870229,77.60052
14,12.97632352,77.59908,12.97772675,77.60052
2,12.94422265,77.59908,12.94562605,77.60052
1,12.88808003,77.59908,12.88930828,77.60052
1,12.8866763,77.59908,12.88808003,77.60052
1,12.88527257,77.59908,12.8866763,77.60052
1,13.05261224,77.60052,13.05401504,77.60178
2,13.02858822,77.60052,13.02981578,77.60178
2,12.96702697,77.60052,12.96825484,77.60178
1,12.96439581,77.60052,12.96562369,77.60178
2,12.93615292,77.60052,12.93755637,77.60178
1,12.92685487,77.60052,12.92825837,77.60178
1,12.92422329,77.60052,12.92545136,77.60178
1,12.89878319,77.60052,12.90001139,77.60178
1,13.02595771,77.60178,13.02718528,77.60322
2,12.96825484,77.60178,12.96965811,77.60322
1,13.05401504,77.60322,13.05524247,77.60466
1,13.03262161,77.60322,13.03384915,77.60466
2,12.96299251,77.60322,12.96439581,77.60466
2,12.95895799,77.60322,12.96036131,77.60466
10,12.93352143,77.60322,12.9349249,77.60466
3,12.91211763,77.60322,12.91352122,77.60466
33,12.88404429,77.60322,12.88527257,77.60466
1,13.0834718,77.60466,13.08469909,77.60592
4,13.02858822,77.60466,13.02981578,77.60592
2,12.9750957,77.60466,12.97632352,77.60592
1,12.97369246,77.60466,12.9750957,77.60592
1,12.96965811,77.60466,12.97106137,77.60592
3,12.92545136,77.60466,12.92685487,77.60592
1,12.90948589,77.60466,12.91071404,77.60592
1,12.90685412,77.60466,12.90808228,77.60592
1,12.9054505,77.60466,12.90685412,77.60592
1,13.04998199,77.60592,13.0513848,77.60736
1,13.03384915,77.60592,13.03525205,77.60736
1,13.00438647,77.60592,13.00578954,77.60736
1,12.97106137,77.60592,12.97228922,77.60736
2,12.96562369,77.60592,12.96702697,77.60736
1,12.91211763,77.60592,12.91352122,77.60736
1,12.91071404,77.60592,12.91211763,77.60736
2,12.90948589,77.60592,12.91071404,77.60736
1,12.90808228,77.60592,12.90948589,77.60736
2,12.89597585,77.60592,12.89737952,77.60736
